month,day_of_week,op_unique_carrier,origin,dest,crs_dep_time,distance,dep_time_bin,carrier_origin
7,2,0.188744508,0.21881582,0.219546742,1010,1558,0.107609327,0.221264368
6,6,0.187981127,0.18494152,0.185483871,1911,347,0.307938035,0.104780931
11,7,0.164141953,0.198960499,0.219789132,810,813,0.107609327,0.188465175
1,4,0.253760206,0.167164179,0.214473684,549,546,0.107609327,0.204238497
11,7,0.188744508,0.22991128,0.186138614,915,1120,0.107609327,0.222398729
5,2,0.253760206,0.262749446,0.205048944,1505,1192,0.107609327,0.326890756
12,7,0.164141953,0.189175258,0.16384535,600,547,0.107609327,0.165355073
4,3,0.193371815,0.227874564,0.180762852,1425,314,0.209605296,0.242802303
11,4,0.137856629,0.252246227,0.219546742,1210,1121,0.209605296,0.178647717
5,1,0.200784094,0.147994467,0.172954642,2057,696,0.307938035,0.137109247
9,5,0.188744508,0.207460399,0.220913108,1050,447,0.107609327,0.171232877
5,1,0.193371815,0.227874564,0.199386503,1140,1670,0.209605296,0.242802303
12,2,0.227520436,0.263761468,0.231961045,934,1119,0.107609327,0.276056338
10,5,0.164141953,0.160886868,0.150485437,1830,1522,0.307938035,0.145833333
9,5,0.253760206,0.262749446,0.182578397,2059,631,0.307938035,0.326890756
9,3,0.200784094,0.206087824,0.172954642,1000,2496,0.107609327,0.250572201
12,7,0.164141953,0.18494152,0.16384535,1613,1587,0.307938035,0.125000061
1,5,0.193371815,0.218421053,0.217485863,935,990,0.107609327,0.217307692
11,7,0.200784094,0.209865859,0.159246575,1358,2016,0.209605296,0.234210526
12,3,0.193371815,0.153198653,0.161744023,1800,342,0.307938035,0.125000012
6,7,0.253760206,0.160886868,0.198044623,1736,334,0.307938035,0.218501852
2,5,0.164141953,0.158739963,0.277777778,1130,546,0.107609327,0.162127108
7,1,0.179017013,0.16,0.172954642,2059,399,0.307938035,0.157895237
1,2,0.179017013,0.12601626,0.176470588,1000,287,0.107609327,0.073424138
